Cell	Localization-cluster
ABprapppaa	C14
ABprppappa	C14
ABprppappp	C14
ABprpppaaa	C14
ABprpppaap	C14
ABprppppap	C14
ABprpppppa	C14
ABprpppppp	C14
Capapp	C14
Capppp	C14
Cpaaap	C14
Cppapa	C14
Cppapp	C14
Cpppaa	C14
Dppp	C14
Eplpa	C14
Eplpp	C14
Eprpa	C14
Eprpp	C14
ABarappapp	C15
ABarpapppp	C15
ABarpppaap	C15
ABarpppapa	C15
ABarppppaa	C15
ABpraappap	C15
ABpraapppa	C15
ABpraapppp	C15
ABprapaaaa	C15
ABprapaaap	C15
ABprapaapa	C15
ABprpaaapp	C15
ABprpaapap	C15
ABprpaappa	C15
ABprpaappp	C15
ABprpapaaa	C15
ABprpapaap	C15
ABprpapapa	C15
ABprpapapp	C15
ABprpappap	C15
ABprpapppa	C15
ABprppaaap	C15
ABprppaapa	C15
ABprppaapp	C15
ABprppapaa	C15
ABprppapap	C15
ABprppppaa	C15
Dpaa	C15
Earpp	C15
Epraa	C15
MSpappa	C15
MSppapp	C15
MSpppap	C15
MSppppa	C15
MSppppp	C15
